,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,From_OSMID,To_OSMID,Adj_Mat_id,WktGeom,street,fromSt,toSt,Direction
97,19692,Manhattan,2015,3,30,18,45,322,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
98,19692,Manhattan,2015,3,31,4,0,37,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
99,19692,Manhattan,2015,3,31,6,30,203,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
100,19692,Manhattan,2015,3,31,4,30,53,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
101,19692,Manhattan,2015,3,31,4,45,71,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
102,19692,Manhattan,2015,3,31,5,0,61,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
103,19692,Manhattan,2015,3,31,5,15,89,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
104,19692,Manhattan,2015,3,31,5,30,95,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
105,19692,Manhattan,2015,3,31,5,45,110,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
106,19692,Manhattan,2015,3,30,23,0,231,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
107,19692,Manhattan,2015,3,31,3,45,46,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
108,19692,Manhattan,2015,3,30,22,30,235,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
109,19692,Manhattan,2015,3,31,8,0,284,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
110,19692,Manhattan,2015,3,31,7,45,298,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
111,19692,Manhattan,2015,3,31,7,30,264,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
112,19692,Manhattan,2015,3,31,7,15,263,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
113,19692,Manhattan,2015,3,31,7,0,239,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
114,19692,Manhattan,2015,3,31,1,15,97,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
115,19692,Manhattan,2015,3,30,22,45,233,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
116,19692,Manhattan,2015,3,31,4,15,56,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
117,19692,Manhattan,2015,3,31,6,0,136,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
118,19692,Manhattan,2015,3,31,2,15,50,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
119,19692,Manhattan,2015,3,31,0,15,147,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
120,19692,Manhattan,2015,3,31,0,30,83,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
121,19692,Manhattan,2015,3,31,0,45,138,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
122,19692,Manhattan,2015,3,31,1,0,111,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
123,19692,Manhattan,2015,3,31,6,45,219,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
124,19692,Manhattan,2015,3,31,1,30,99,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
125,19692,Manhattan,2015,3,31,1,45,83,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
126,19692,Manhattan,2015,3,30,22,15,231,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
127,19692,Manhattan,2015,3,31,8,30,293,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
128,19692,Manhattan,2015,3,31,8,15,274,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
129,19692,Manhattan,2015,3,30,21,0,240,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
130,19692,Manhattan,2015,3,30,21,15,243,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
131,19692,Manhattan,2015,3,30,21,30,271,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
132,19692,Manhattan,2015,3,30,17,45,236,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
133,19692,Manhattan,2015,3,30,17,0,216,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
134,19692,Manhattan,2015,3,30,16,45,209,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
135,19692,Manhattan,2015,3,31,2,0,79,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
136,19692,Manhattan,2015,3,30,22,0,254,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
137,19692,Manhattan,2015,3,30,21,45,248,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
138,19692,Manhattan,2015,3,31,0,0,177,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
139,19692,Manhattan,2015,3,30,19,45,288,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
140,19692,Manhattan,2015,3,30,20,0,252,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
141,19692,Manhattan,2015,3,30,20,15,255,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
142,19692,Manhattan,2015,3,30,17,15,245,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
143,19692,Manhattan,2015,3,30,17,30,286,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
144,19692,Manhattan,2015,3,30,18,0,265,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
145,19692,Manhattan,2015,3,31,6,15,164,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
146,19692,Manhattan,2015,3,30,18,30,273,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
147,19692,Manhattan,2015,3,30,20,30,250,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
